R0,29,33,16,27
R1,19,15,25,9
R2,19,33,13,20
R3,25,24,35,13
R4,33,37,32,3
R5,17,2,25,13
R6,5,6,28,38
R7,9,17,35,4
R8,2,20,20,19
R9,14,0,29,23
R10,32,13,27,18
R11,37,34,6,35
R12,37,22,19,19
R13,25,29,36,26
R14,10,36,23,9
R15,20,1,14,16
R16,9,20,12,31
R17,28,25,0,37
R18,17,18,19,9
R19,20,14,13,2
R20,8,32,32,6
R21,18,36,8,38
R22,39,12,38,14
R23,21,27,14,29
R24,14,31,34,39
R25,36,13,32,5
R26,38,27,15,4
R27,5,29,31,23
R28,9,5,19,7
R29,16,16,10,35
R30,37,3,25,32
R31,1,19,2,37
R32,17,30,3,18
R33,15,33,0,12
R34,30,9,19,37
R35,20,38,6,36
R36,15,13,34,2
R37,2,23,20,17
R38,21,11,29,1
R39,5,12,26,12
R40,7,4,22,34
R41,30,17,30,18
R42,30,1,4,2
R43,35,9,13,19
R44,17,17,30,35
R45,2,30,24,12
R46,18,9,12,32
R47,5,33,4,14
R48,7,30,22,20
R49,13,11,30,22
R50,35,22,35,2
R51,38,34,36,29
R52,4,22,6,13
R53,36,11,17,32
R54,15,16,7,21
R55,31,9,19,5
R56,33,21,25,30
R57,17,29,30,23
R58,2,33,38,8
R59,6,34,35,39
R60,12,20,39,31
R61,16,22,24,17
R62,33,9,37,20
R63,7,5,3,28
R64,0,0,0,16
R65,17,16,11,38
R66,36,9,6,16
R67,11,6,2,18
R68,16,15,12,18
R69,39,21,36,7
R70,8,37,10,17
R71,1,1,9,8
R72,26,29,25,31
R73,36,31,27,24
R74,18,19,39,15
R75,3,9,25,26
R76,18,18,10,10
R77,22,39,13,4
R78,37,11,34,6
R79,30,6,8,4
R80,36,38,13,18
R81,27,29,8,22
R82,28,8,11,19
R83,19,39,7,11
R84,13,32,34,37
R85,27,10,19,35
R86,35,6,27,0
R87,31,17,5,24
R88,8,13,1,11
R89,15,21,23,3
R90,12,37,38,21
R91,6,23,21,35
R92,5,8,5,39
R93,1,2,16,32
R94,22,26,20,13
R95,13,26,2,26
R96,18,16,4,18
R97,33,0,39,3
R98,26,8,25,1
R99,0,21,11,25
